what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.buildship.stsmigration,2.2.1.v20180125-1441,"org.eclipse.buildship.stsmigration",1634773789798
started,bundle,org.eclipse.buildship.ui,2.2.1.v20180125-1441,"org.eclipse.buildship.ui",1634773789799
started,bundle,org.eclipse.emf.common,2.14.0.v20180527-1134,"org.eclipse.emf.common",1634773789799
started,bundle,org.eclipse.emf.common.ui,2.13.0.v20180127-1015,"org.eclipse.emf.common.ui",1634773789801
started,bundle,org.eclipse.emf.ecore,2.14.0.v20180529-1144,"org.eclipse.emf.ecore",1634773789801
started,bundle,org.eclipse.emf.ecore.xmi,2.14.0.v20180129-1548,"org.eclipse.emf.ecore.xmi",1634773789803
started,bundle,org.eclipse.oomph.base,1.9.0.v20180529-0916,"org.eclipse.oomph.base",1634773789805
started,bundle,org.eclipse.oomph.base.edit,1.9.0.v20180529-0916,"org.eclipse.oomph.base.edit",1634773789806
started,bundle,org.eclipse.oomph.predicates,1.9.0.v20180529-0916,"org.eclipse.oomph.predicates",1634773789808
started,bundle,org.eclipse.oomph.predicates.edit,1.9.0.v20180529-0916,"org.eclipse.oomph.predicates.edit",1634773789809
started,bundle,org.eclipse.oomph.ui,1.9.0.v20180529-0916,"org.eclipse.oomph.ui",1634773789810
started,bundle,org.eclipse.oomph.util,1.9.0.v20180529-0916,"org.eclipse.oomph.util",1634773789811
started,bundle,org.eclipse.oomph.workingsets,1.9.0.v20180529-0916,"org.eclipse.oomph.workingsets",1634773789813
started,bundle,org.eclipse.oomph.workingsets.editor,1.9.0.v20180529-0916,"org.eclipse.oomph.workingsets.editor",1634773789814
os,sysinfo,,,"win32",1634773789820
arch,sysinfo,,,"x86_64",1634773789820
ws,sysinfo,,,"win32",1634773789820
locale,sysinfo,,,"pt_BR",1634773789820
processors,sysinfo,,,"4",1634773789820
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1634773789820
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1634773789820
java.specification.name,sysinfo,,,"Java Platform API Specification",1634773789820
java.specification.vendor,sysinfo,,,"Oracle Corporation",1634773789820
java.specification.version,sysinfo,,,"1.8",1634773789820
java.vendor,sysinfo,,,"Oracle Corporation",1634773789820
java.version,sysinfo,,,"1.8.0_181",1634773789820
java.vm.info,sysinfo,,,"mixed mode",1634773789820
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1634773789820
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1634773789820
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1634773789820
java.vm.specification.version,sysinfo,,,"1.8",1634773789820
java.vm.vendor,sysinfo,,,"Oracle Corporation",1634773789820
java.vm.version,sysinfo,,,"25.181-b13",1634773789820
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1634773791308
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1634773791336
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1634773791382
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1634773791393
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1634773791398
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1634773799788
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1634773799789
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1634773801313
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1634773809127
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.touchpoint.eclipse",1634773809210
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1634773843250
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1634773843291
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1634773843339
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1634773845825
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634773847437
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1634773858561
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634773859633
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1634773861889
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1634773861934
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634773864336
started,bundle,org.eclipse.equinox.p2.director,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.director",1634773867891
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1634773867908
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634773887834
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1634773888025
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634773891859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634773902054
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1634773903371
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1634773903553
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1634773903637
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1634773903914
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1634773903952
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1634773903966
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1634773904394
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634773906099
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634774006791
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1634774014663
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1634774018449
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1634774023380
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634774025358
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634774158895
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634774160322
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634774161638
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1634774161959
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1634774162844
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1634774162857
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1634774162869
